title,year,budget_raw,box_office_raw,release_date,section,image
The Wizard of Oz,1939,$2.8 million [ 8 ] [ 9 ],"$2,048,000[6]",,Highest-grossing,images\1939_The_Wizard_of_Oz.jpg
"Goodbye, Mr. Chips",1939,"$1,051,000 [ 2 ] or £243,340 [ 3 ]","$1,777,000[6]",,Highest-grossing,"images\1939_Goodbye,_Mr._Chips.jpg"
Dodge City,1939,"$1,061,000 [ 1 ] [ 2 ] [ 3 ]","$1,668,000[7]",,Highest-grossing,images\1939_Dodge_City.jpg
The Rains Came,1939,$2.5 million,"$1,656,000[5]",,Highest-grossing,images\1939_The_Rains_Came.jpg
The Women,1939,"$1,688,000 [ 1 ]","$1,610,000[6]",,Highest-grossing,images\1939_The_Women.jpg
Drums Along the Mohawk,1939,over $2 million [ 1 ],"$1,558,000[5]",,Highest-grossing,images\1939_Drums_Along_the_Mohawk.jpg
Boom Town,1940,$1.6 million [ 1 ],"$3,664,000[1]",,Highest-grossing,images\1940_Boom_Town.jpg
The Great Dictator,1940,$2.2 million [ 2 ],"$3,500,000[2]",,Highest-grossing,images\1940_The_Great_Dictator.jpg
Rebecca,1940,$1.29 million [ 1 ],"$3,000,000[3]",,Highest-grossing,images\1940_Rebecca.jpg
North West Mounted Police,1940,,"$2,750,000[4]",,Highest-grossing,images\1940_North_West_Mounted_Police.jpg
Strike Up the Band,1940,"$854,000 [ 2 ]","$2,265,000[1]",,Highest-grossing,images\1940_Strike_Up_the_Band.jpg
Northwest Passage,1940,"$2,687,000 [ 1 ] [ 2 ]","$2,169,000[1]",,Highest-grossing,images\1940_Northwest_Passage.jpg
Andy Hardy Meets Debutante,1940,"$436,000 [ 1 ]","$1,945,000[1]",,Highest-grossing,images\1940_Andy_Hardy_Meets_Debutante.jpg
The Fighting 69th,1940,,"$1,822,000[5]",,Highest-grossing,images\1940_The_Fighting_69th.jpg
Santa Fe Trail,1940,"$1,115,000 [ 1 ] [ 2 ]","$1,748,000[5]",,Highest-grossing,images\1940_Santa_Fe_Trail.jpg
Kitty Foyle,1940,"$738,000 [ 1 ]","$1,710,000[6][7]",,Highest-grossing,images\1940_Kitty_Foyle.jpg
Sergeant York,1941,$1.7 million [ 1 ],"$6,075,000[1]",,Highest-grossing,images\1941_Sergeant_York.jpg
Honky Tonk,1941,"$899,000 [ 2 ]","$2,893,000[2]",,Highest-grossing,images\1941_Honky_Tonk.jpg
Louisiana Purchase,1941,,"$2,750,000[3]",,Highest-grossing,images\1941_Louisiana_Purchase.jpg
How Green Was My Valley,1941,"$800,000 [ 1 ]","$2,447,000[4]",,Highest-grossing,images\1941_How_Green_Was_My_Valley.jpg
The Philadelphia Story,1941,"$914,000 [ 1 ]","$2,374,000[2]",,Highest-grossing,images\1941_The_Philadelphia_Story.jpg
Caught in the Draft,1941,,"$2,200,000[5]",,Highest-grossing,images\1941_Caught_in_the_Draft.jpg
A Yank in the R.A.F.,1941,"$200,000","$2,063,000[4]",,Highest-grossing,images\1941_A_Yank_in_the_R.A.F..jpg
Men of Boys Town,1941,"$862,000 [ 1 ]","$2,009,000[2]",,Highest-grossing,images\1941_Men_of_Boys_Town.jpg
Ziegfeld Girl,1941,$1.5 million [ 3 ],"$1,891,000[2]",,Highest-grossing,images\1941_Ziegfeld_Girl.jpg
They Died with Their Boots On,1941,$1.3 million [ 1 ] [ 2 ],"$1,871,000[1]",,Highest-grossing,images\1941_They_Died_with_Their_Boots_On.jpg
Mrs. Miniver,1942,$1.34 million [ 2 ],"$5,358,000[1]",,Highest-grossing,images\1942_Mrs._Miniver.jpg
Random Harvest,1942,"$1,210,000 [ 1 ]","$4,650,000[1]",,Highest-grossing,images\1942_Random_Harvest.jpg
Yankee Doodle Dandy,1942,$1.5 million [ 1 ],"$4,631,000[2]",,Highest-grossing,images\1942_Yankee_Doodle_Dandy.jpg
Reap the Wild Wind,1942,,"$4,000,000[3]",,Highest-grossing,images\1942_Reap_the_Wild_Wind.jpg
Road to Morocco,1942,,"$3,800,000[4]",,Highest-grossing,images\1942_Road_to_Morocco.jpg
Holiday Inn,1942,,"$3,750,000[5]",,Highest-grossing,images\1942_Holiday_Inn.jpg
Wake Island,1942,"$826,000 [ 1 ]","$3,500,000[5]",,Highest-grossing,images\1942_Wake_Island.jpg
The Pride of the Yankees,1942,,"$3,332,000[6][7]",,Highest-grossing,images\1942_The_Pride_of_the_Yankees.jpg
Kings Row,1942,"$1,081,698 [ 1 ] [ 2 ] [ 3 ]","$3,143,000[2]",,Highest-grossing,images\1942_Kings_Row.jpg
For Me and My Gal,1942,"$841,000 [ 1 ]","$2,894,000[1]",,Highest-grossing,images\1942_For_Me_and_My_Gal.jpg
This is the Army,1943,"$1,870,000 [ 3 ] [ 4 ]","$8,301,000[1]",,Highest-grossing,images\1943_This_is_the_Army.jpg
For Whom the Bell Tolls,1943,$3 million [ 2 ],"$6,300,000[2]",,Highest-grossing,images\1943_For_Whom_the_Bell_Tolls.jpg
The Song of Bernadette,1943,$1.6 million [ 2 ],"$4,700,000[3]",,Highest-grossing,images\1943_The_Song_of_Bernadette.jpg
Stage Door Canteen,1943,,"$4,350,000[4]",,Highest-grossing,images\1943_Stage_Door_Canteen.jpg
Star Spangled Rhythm,1943,"$1,127,989","$3,850,000[5]",,Highest-grossing,images\1943_Star_Spangled_Rhythm.jpg
Thousands Cheer,1943,"$1,568,000 [ 1 ]","$3,751,000[6]",,Highest-grossing,images\1943_Thousands_Cheer.jpg
Casablanca,1943,"$878,000 [ 2 ] –$1 million [ 3 ] [ 4 ]","$3,398,000[1]",,Highest-grossing,images\1943_Casablanca.jpg
Coney Island,1943,$1.6 million [ 2 ],"$3,305,000[7]",,Highest-grossing,images\1943_Coney_Island.jpg
Destination Tokyo,1943,"$1,516,000 [ 3 ]","$3,237,000[1]",,Highest-grossing,images\1943_Destination_Tokyo.jpg
Dixie,1943,,"$3,100,000[5]",,Highest-grossing,images\1943_Dixie.jpg
Going My Way,1944,,"$6,500,000[1]",,Highest-grossing,images\1944_Going_My_Way.jpg
Meet Me in St. Louis,1944,$1.9 million [ 2 ],"$5,016,000[2]",,Highest-grossing,images\1944_Meet_Me_in_St._Louis.jpg
Since You Went Away,1944,"$3,257,000 [ 2 ]","$4,950,000[3]",,Highest-grossing,images\1944_Since_You_Went_Away.jpg
Thirty Seconds Over Tokyo,1944,$2.9 million [ 2 ],"$4,297,000[2]",,Highest-grossing,images\1944_Thirty_Seconds_Over_Tokyo.jpg
The Story of Dr. Wassell,1944,"$2,744,991 [ 1 ]","$4,209,968[4]",,Highest-grossing,images\1944_The_Story_of_Dr._Wassell.jpg
The White Cliffs of Dover,1944,"$2,342,000 [ 1 ] [ 2 ]","$4,045,000[2]",,Highest-grossing,images\1944_The_White_Cliffs_of_Dover.jpg
A Guy Named Joe,1944,"$2,627,000 [ 3 ]","$3,970,000[2]",,Highest-grossing,images\1944_A_Guy_Named_Joe.jpg
Hollywood Canteen,1944,"$2,126,000 [ 1 ]","$3,831,000[5]",,Highest-grossing,images\1944_Hollywood_Canteen.jpg
To Have and Have Not,1944,$1.68 million [ 1 ],"$3,652,000[5]",,Highest-grossing,images\1944_To_Have_and_Have_Not.jpg
Bathing Beauty,1944,"$2,361,000 [ 1 ]","$3,284,000[2]",,Highest-grossing,images\1944_Bathing_Beauty.jpg
The Bells of St. Mary's,1945,$1.3 million [ 1 ],"$8,000,000[3]",,Highest-grossing,images\1945_The_Bells_of_St._Mary's.jpg
Leave Her to Heaven,1945,,"$5,550,000[3]",,Highest-grossing,images\1945_Leave_Her_to_Heaven.jpg
Spellbound,1945,US$1.5 million [ 3 ] [ 4 ],"$4,975,000[4]",,Highest-grossing,images\1945_Spellbound.jpg
The Valley of Decision,1945,"$2,165,000 [ 1 ]","$4,566,000[5]",,Highest-grossing,images\1945_The_Valley_of_Decision.jpg
Anchors Aweigh,1945,$2.6 million [ 3 ],"$4,498,000[5]",,Highest-grossing,images\1945_Anchors_Aweigh.jpg
Week-End at the Waldorf,1945,"$2,561,000 [ 2 ] [ 3 ]","$4,364,000[5]",,Highest-grossing,images\1945_Week-End_at_the_Waldorf.jpg
Thrill of a Romance,1945,"$1,410,000 [ 1 ]","$4,338,000[5]",,Highest-grossing,images\1945_Thrill_of_a_Romance.jpg
The Lost Weekend,1945,$1.25 million,"$4,300,000[4]",,Highest-grossing,images\1945_The_Lost_Weekend.jpg
State Fair,1945,,"$4,050,000[4]",,Highest-grossing,images\1945_State_Fair.jpg
National Velvet,1945,"$2,770,000 [ 1 ]","$3,678,000[5]",,Highest-grossing,images\1945_National_Velvet.jpg
Duel in the Sun,1946,$6.48 million [ 1 ],"$10,000,000[1]",,Highest-grossing,images\1946_Duel_in_the_Sun.jpg
The Best Years of Our Lives,1946,$2.1 million [ 1 ] or $3 million [ 2 ],"$7,675,000[2]",,Highest-grossing,images\1946_The_Best_Years_of_Our_Lives.jpg
The Jolson Story,1946,$2 million [ 1 ],"$7,600,000[1]",,Highest-grossing,images\1946_The_Jolson_Story.jpg
Blue Skies,1946,,"$5,700,000[1]",,Highest-grossing,images\1946_Blue_Skies.jpg
Saratoga Trunk,1946,"$2,393,000 [ 1 ]","$5,148,000[3]",,Highest-grossing,images\1946_Saratoga_Trunk.jpg
The Razor's Edge,1946,$1.2 million,"$5,000,000[1]",,Highest-grossing,images\1946_The_Razor's_Edge.jpg
Night and Day,1946,"$4,445,000 [ 1 ]","$4,990,000[3]",,Highest-grossing,images\1946_Night_and_Day.jpg
Notorious,1946,$1 million [ 2 ],"$4,850,000[2]",,Highest-grossing,images\1946_Notorious.jpg
The Yearling,1946,"$3,883,000 [ 1 ] [ 2 ]","$4,768,000[4]",,Highest-grossing,images\1946_The_Yearling.jpg
Till the Clouds Roll By,1946,"$3,316,000 [ 4 ]","$4,748,000[4]",,Highest-grossing,images\1946_Till_the_Clouds_Roll_By.jpg
Welcome Stranger,1947,,"$6,100,000[1]",,Highest-grossing,images\1947_Welcome_Stranger.jpg
The Egg and I,1947,"$1,900,000 [ 1 ]","$5,500,000[1]",,Highest-grossing,
Life with Father,1947,"$4,710,000","$5,057,000[2]",,Highest-grossing,images\1947_Life_with_Father.jpg
Forever Amber,1947,$6.4 million [ 1 ],"$5,000,000[1]",,Highest-grossing,images\1947_Forever_Amber.jpg
Unconquered,1947,"$4,371,593 [ 1 ]","$4,633,486[3]",,Highest-grossing,images\1947_Unconquered.jpg
Road to Rio,1947,$2.4 million [ 1 ],"$4,500,000[1]",,Highest-grossing,images\1947_Road_to_Rio.jpg
Green Dolphin Street,1947,"$4,391,000 [ 1 ] [ 2 ]","$4,384,380[4]",,Highest-grossing,images\1947_Green_Dolphin_Street.jpg
The Bachelor and the Bobby-Soxer,1947,"$1,961,000 [ 2 ] [ 3 ]","$4,200,000[5]",,Highest-grossing,images\1947_The_Bachelor_and_the_Bobby-Soxer.jpg
Mother Wore Tights,1947,,"$4,100,000[6]",,Highest-grossing,images\1947_Mother_Wore_Tights.jpg
Cass Timberlane,1947,"$2,733,000 [ 1 ] [ 2 ]","$3,983,000[4]",,Highest-grossing,images\1947_Cass_Timberlane.jpg
The Red Shoes,1948,"> £ 505,600 [ a ] [ 1 ] [ 2 ]","$5,000,000[1]",,Highest-grossing,images\1948_The_Red_Shoes.jpg
Red River,1948,$2.7 million [ 2 ],"$4,506,825[2]",,Highest-grossing,images\1948_Red_River.jpg
The Paleface,1948,$2 million [ 1 ],"$4,500,000[1]",,Highest-grossing,images\1948_The_Paleface.jpg
Johnny Belinda,1948,"$1,631,000 [ 1 ]","$4,266,000[3]",,Highest-grossing,images\1948_Johnny_Belinda.jpg
Easter Parade,1948,$2.66 million [ 1 ] [ 2 ],"$4,144,000[4]",,Highest-grossing,images\1948_Easter_Parade.jpg
The Three Musketeers,1948,"$4,474,000 [ 1 ] [ 2 ]","$4,124,000[4]",,Highest-grossing,images\1948_The_Three_Musketeers.jpg
The Snake Pit,1948,$3.8 million [ 1 ],"$4,100,000[1]",,Highest-grossing,images\1948_The_Snake_Pit.jpg
The Emperor Waltz,1948,$3.8 million [ 1 ],"$4,000,000[1]",,Highest-grossing,images\1948_The_Emperor_Waltz.jpg
Homecoming,1948,$2.6 million [ 1 ],"$3,699,000[4]",,Highest-grossing,images\1948_Homecoming.jpg
Sitting Pretty,1948,$1.3 million [ 1 ],"$3,550,000[5]",,Highest-grossing,images\1948_Sitting_Pretty.jpg
Jolson Sings Again,1949,,"$5,000,000[1]",,Highest-grossing,images\1949_Jolson_Sings_Again.jpg
Battleground,1949,"$1,631,000 [ 1 ] [ 2 ]","$4,722,000[2]",,Highest-grossing,images\1949_Battleground.jpg
I Was a Male War Bride,1949,,"$4,100,000[3]",,Highest-grossing,images\1949_I_Was_a_Male_War_Bride.jpg
Sands of Iwo Jima,1949,"$1,397,558 [ 1 ]","$4,000,000[3]",,Highest-grossing,images\1949_Sands_of_Iwo_Jima.jpg
The Stratton Story,1949,"$1,771,000 [ 1 ]","$3,831,000[2]",,Highest-grossing,images\1949_The_Stratton_Story.jpg
Pinky,1949,,"$3,800,000[4]",,Highest-grossing,images\1949_Pinky.jpg
Mr. Belvedere Goes to College,1949,,"$3,700,000[4]",,Highest-grossing,images\1949_Mr._Belvedere_Goes_to_College.jpg
Neptune's Daughter,1949,"$2,221,000 [ 1 ]","$3,477,000[2]",,Highest-grossing,images\1949_Neptune's_Daughter.jpg
Little Women,1949,"$2,776,000 [ 1 ]","$3,425,000[2]",,Highest-grossing,images\1949_Little_Women.jpg
Sorrowful Jones,1949,,"$3,400,000[4]",,Highest-grossing,images\1949_Sorrowful_Jones.jpg
Samson and Delilah,1950,$2.9 [ 2 ] –3.1 million [ 3 ],"$9,000,000[1]",,Highest-grossing,images\1950_Samson_and_Delilah.jpg
King Solomon's Mines,1950,$2.3 million [ 2 ],"$5,047,000[2]",,Highest-grossing,images\1950_King_Solomon's_Mines.jpg
Annie Get Your Gun,1950,"$3,734,000 [ 1 ]","$4,708,000[2]",,Highest-grossing,images\1950_Annie_Get_Your_Gun.jpg
Cheaper by the Dozen,1950,$1.7 million [ 1 ],"$4,425,000[3]",,Highest-grossing,images\1950_Cheaper_by_the_Dozen.jpg
Cinderella,1950,$2.2 million [ 1 ],"$4,275,000[4]",,Highest-grossing,images\1950_Cinderella.jpg
Born Yesterday,1950,,"$4,100,000[5]",,Highest-grossing,images\1950_Born_Yesterday.jpg
Father of the Bride,1950,"$1,215,000 [ 1 ] [ 2 ]","$4,036,000[2]",,Highest-grossing,images\1950_Father_of_the_Bride.jpg
Broken Arrow,1950,,"$3,600,000[6]",,Highest-grossing,images\1950_Broken_Arrow.jpg
All About Eve,1950,$1.4 million [ 3 ] [ 4 ],"$3,100,000[6]",,Highest-grossing,images\1950_All_About_Eve.jpg
Three Little Words,1950,"$1,470,000 [ 1 ]","$3,019,000[2]",,Highest-grossing,images\1950_Three_Little_Words.jpg
Quo Vadis,1951,$7.6 million [ 1 ],"$11,143,000[1]",,Highest-grossing,images\1951_Quo_Vadis.jpg
Show Boat,1951,"$2,389,000 [ 3 ]","$5,293,000[1]",,Highest-grossing,images\1951_Show_Boat.jpg
David and Bathsheba,1951,$2.17 million [ 2 ],"$4,720,000[2]",,Highest-grossing,images\1951_David_and_Bathsheba.jpg
The Great Caruso,1951,"$1,853,000 [ 1 ]","$4,309,000[1]",,Highest-grossing,images\1951_The_Great_Caruso.jpg
A Streetcar Named Desire,1951,$1.8 million [ 3 ],"$4,250,000[3]",,Highest-grossing,images\1951_A_Streetcar_Named_Desire.jpg
The African Queen,1951,$1 million [ 3 ],"$4,100,000[3]",,Highest-grossing,images\1951_The_African_Queen.jpg
That's My Boy,1951,,"$3,800,000[4]",,Highest-grossing,images\1951_That's_My_Boy.jpg
An American in Paris,1951,$2.7 million [ 3 ],"$3,750,000[1]",,Highest-grossing,images\1951_An_American_in_Paris.jpg
A Place in the Sun,1951,$2.3 million,"$3,500,000[4]",,Highest-grossing,images\1951_A_Place_in_the_Sun.jpg
At War with the Army,1951,"less than $500,000 [ 1 ] or $420,000 [ 2 ]","$3,300,000[5]",,Highest-grossing,images\1951_At_War_with_the_Army.jpg
The Greatest Show on Earth,1952,$4 million [ 1 ],"$12,800,000[1]",,Highest-grossing,images\1952_The_Greatest_Show_on_Earth.jpg
This Is Cinerama,1952,$1 million,"$12,500,000[1]",,Highest-grossing,images\1952_This_Is_Cinerama.jpg
The Snows of Kilimanjaro,1952,$2.7–3 million [ 2 ] [ 3 ],"$6,500,000[1]",,Highest-grossing,images\1952_The_Snows_of_Kilimanjaro.jpg
Hans Christian Andersen,1952,$4 million [ 1 ],"$6,000,000[1]",,Highest-grossing,images\1952_Hans_Christian_Andersen.jpg
Ivanhoe,1952,"$3,842,000 [ 2 ]","$5,810,000[2]",,Highest-grossing,images\1952_Ivanhoe.jpg
Sailor Beware,1952,,"$4,300,000[3]",,Highest-grossing,images\1952_Sailor_Beware.jpg
Moulin Rouge,1952,$1.1 million [ 1 ],"$4,252,000[4]",,Highest-grossing,images\1952_Moulin_Rouge.jpg
Jumping Jacks,1952,,"$4,000,000[3]",,Highest-grossing,images\1952_Jumping_Jacks.jpg
The Quiet Man,1952,"$1.75 million or $1,698,254 [ 3 ]","$3,800,000[4]",,Highest-grossing,images\1952_The_Quiet_Man.jpg
High Noon,1952,"$730,000 [ 1 ]","$3,750,000[5]",,Highest-grossing,images\1952_High_Noon.jpg
The Robe,1953,$4.1 million [ 1 ] – $4.6 million [ 2 ],"$17,500,000[1]",,Highest-grossing,images\1953_The_Robe.jpg
From Here to Eternity,1953,$1.7–2.5 million [ 1 ] [ 2 ],"$12,200,000[1]",,Highest-grossing,images\1953_From_Here_to_Eternity.jpg
Shane,1953,$1.5 million [ 3 ],"$8,000,000[1]",,Highest-grossing,images\1953_Shane.jpg
How to Marry a Millionaire,1953,$1.9 million [ 1 ],"$7,300,000[1]",,Highest-grossing,images\1953_How_to_Marry_a_Millionaire.jpg
Peter Pan,1953,$4 million [ 1 ],"$6,000,000[1]",,Highest-grossing,images\1953_Peter_Pan.jpg
House of Wax,1953,$1 million [ 2 ],"$5,500,000[2]",,Highest-grossing,images\1953_House_of_Wax.jpg
Gentlemen Prefer Blondes,1953,$2.3 million [ 2 ] or $2.7 million [ 3 ],"$5,100,000[1]",,Highest-grossing,images\1953_Gentlemen_Prefer_Blondes.jpg
Salome,1953,,"$4,750,000[2]",,Highest-grossing,images\1953_Salome.jpg
Mogambo,1953,$3.1 million [ 1 ],"$4,576,000[3]",,Highest-grossing,images\1953_Mogambo.jpg
Knights of the Round Table,1953,$2.6 million [ 1 ],"$4,518,000[3]",,Highest-grossing,images\1953_Knights_of_the_Round_Table.jpg
White Christmas,1954,$2 million [ 2 ],"$12,000,000[1]",,Highest-grossing,images\1954_White_Christmas.jpg
The Caine Mutiny,1954,$2 million [ 2 ],"$8,700,000[1]",,Highest-grossing,images\1954_The_Caine_Mutiny.jpg
"20,000 Leagues Under the Sea",1954,$5 million [ 1 ],"$8,000,000[1]",,Highest-grossing,"images\1954_20,000_Leagues_Under_the_Sea.jpg"
The Glenn Miller Story,1954,,"$7,600,000[1]",,Highest-grossing,images\1954_The_Glenn_Miller_Story.jpg
The Country Girl,1954,,"$6,500,000[1]",,Highest-grossing,images\1954_The_Country_Girl.jpg
The High and the MightyA Star Is Born,1954,$1.47 million [ 1 ],"$6,100,000[1]",,Highest-grossing,images\1954_The_High_and_the_MightyA_Star_Is_Born.jpg
Seven Brides for Seven Brothers,1954,"$2,540,000 [ 2 ]","$5,526,000[2]",,Highest-grossing,images\1954_Seven_Brides_for_Seven_Brothers.jpg
Rear Window,1954,$1 million [ 3 ],"$5,300,000[1]",,Highest-grossing,images\1954_Rear_Window.jpg
Magnificent Obsession,1954,,"$5,200,000[1]",,Highest-grossing,images\1954_Magnificent_Obsession.jpg
There's No Business Like Show Business,1954,$4.3 million [ 2 ],"$5,103,555[3]",,Highest-grossing,images\1954_There's_No_Business_Like_Show_Business.jpg
Cinerama Holiday,1955,$1.5 million [ 1 ],"$10,000,000[1]",,Highest-grossing,
Mister Roberts,1955,$2.3 million [ 5 ],"$8,500,000[1]",,Highest-grossing,images\1955_Mister_Roberts.jpg
Battle Cry,1955,,"$8,100,000[1]",,Highest-grossing,images\1955_Battle_Cry.jpg
Oklahoma!,1955,$5.9 million [ 3 ],"$7,100,000[1]",,Highest-grossing,images\1955_Oklahoma!.jpg
Guys and Dolls,1955,$5.5 million,"$6,801,000[2]",,Highest-grossing,images\1955_Guys_and_Dolls.jpg
Lady and the Tramp,1955,$4 million [ 1 ],"$6,500,000[1]",,Highest-grossing,images\1955_Lady_and_the_Tramp.jpg
Picnic,1955,$3 million [ 2 ],"$6,300,000[1]",,Highest-grossing,images\1955_Picnic.jpg
Not as a Stranger,1955,$1.5 million [ 1 ],"$6,200,000[1]",,Highest-grossing,images\1955_Not_as_a_Stranger.jpg
Strategic Air CommandThe Seven Year ItchThe Sea Chase,1955,,"$6,000,000[1]",,Highest-grossing,images\1955_Strategic_Air_CommandThe_Seven_Year_ItchThe_Sea_Chase.jpg
I'll Cry Tomorrow,1955,"$2,147,000 [ 1 ]","$5,873,000[2]",,Highest-grossing,images\1955_I'll_Cry_Tomorrow.jpg
The Ten Commandments,1956,$13 million [ 3 ],"$34,200,000[1]",,Highest-grossing,images\1956_The_Ten_Commandments.jpg
Around the World in 80 Days,1956,$6 million [ 1 ] [ 2 ],"$22,000,000[1]",,Highest-grossing,images\1956_Around_the_World_in_80_Days.jpg
Giant,1956,$5.4 million [ 1 ],"$12,000,000[1]",,Highest-grossing,images\1956_Giant.jpg
Seven Wonders of the World,1956,,"$9,300,000[1]",,Highest-grossing,images\1956_Seven_Wonders_of_the_World.jpg
The King and I,1956,$4.55 million [ 2 ],"$8,500,000[1]",,Highest-grossing,images\1956_The_King_and_I.jpg
Trapeze,1956,$4 million [ 1 ],"$7,300,000[1]",,Highest-grossing,images\1956_Trapeze.jpg
War and Peace,1956,$5 million [ 1 ],"$6,250,000[2]",,Highest-grossing,images\1956_War_and_Peace.jpg
High Society,1956,$2.8 million [ 1 ],"$5,602,000[3]",,Highest-grossing,images\1956_High_Society.jpg
The Teahouse of the August Moon,1956,"$3,926,000 [ 1 ]","$5,550,000[3]",,Highest-grossing,images\1956_The_Teahouse_of_the_August_Moon.jpg
The Eddy Duchin Story,1956,$3 million [ 1 ],"$5,300,000[1]",,Highest-grossing,images\1956_The_Eddy_Duchin_Story.jpg
The Bridge on the River Kwai,1957,$2.8 million [ 2 ] (equivalent to $31 million in 2024),"$15,000,000[1]",,Highest-grossing,images\1957_The_Bridge_on_the_River_Kwai.jpg
Peyton Place,1957,$1.8 [ 4 ] —$2.2 million [ 5 ],"$11,000,000[1]",,Highest-grossing,images\1957_Peyton_Place.jpg
Sayonara,1957,,"$10,500,000[1]",,Highest-grossing,images\1957_Sayonara.jpg
Search for Paradise,1957,,"$6,500,000[1]",,Highest-grossing,images\1957_Search_for_Paradise.jpg
Old Yeller,1957,,"$5,900,000[1]",,Highest-grossing,images\1957_Old_Yeller.jpg
Raintree County,1957,"$5,474,000 [ 1 ]","$5,830,000[2]",,Highest-grossing,images\1957_Raintree_County.jpg
Island in the SunA Farewell to Arms,1957,$2.25 million [ 1 ] or $3 million [ 2 ],"$5,000,000[3]",,Highest-grossing,images\1957_Island_in_the_SunA_Farewell_to_Arms.jpg
Pal Joey,1957,$3 million [ 1 ],"$4,700,000[3]",,Highest-grossing,images\1957_Pal_Joey.jpg
Gunfight at the O.K. Corral,1957,$2 million [ 3 ],"$4,300,000[3]",,Highest-grossing,images\1957_Gunfight_at_the_O.K._Corral.jpg
Don't Go Near the Water,1957,"$2,495,000 [ 1 ]","$4,265,000[2]",,Highest-grossing,images\1957_Don't_Go_Near_the_Water.jpg
South Pacific,1958,$5.61 million [ 2 ],"$16,300,000[1]",,Highest-grossing,images\1958_South_Pacific.jpg
Auntie Mame,1958,,"$9,100,000[1]",,Highest-grossing,images\1958_Auntie_Mame.jpg
Cat on a Hot Tin Roof,1958,$2.3 million [ 2 ],"$7,660,000[2]",,Highest-grossing,images\1958_Cat_on_a_Hot_Tin_Roof.jpg
No Time for Sergeants,1958,,"$7,500,000[1]",,Highest-grossing,images\1958_No_Time_for_Sergeants.jpg
Gigi,1958,$3.3 million [ 2 ] [ 3 ],"$6,500,000[2]",,Highest-grossing,images\1958_Gigi.jpg
The Vikings,1958,$3.5 million [ 2 ],"$6,000,000[1]",,Highest-grossing,images\1958_The_Vikings.jpg
The Young Lions,1958,$3.55 million [ 1 ],"$4,480,000[3]",,Highest-grossing,images\1958_The_Young_Lions.jpg
The Inn of the Sixth Happiness,1958,$3.5 million [ 1 ],"$4,400,000[3]",,Highest-grossing,images\1958_The_Inn_of_the_Sixth_Happiness.jpg
Some Came Running,1958,$3 million [ 3 ],"$4,245,000[2]",,Highest-grossing,images\1958_Some_Came_Running.jpg
Indiscreet,1958,,"$3,600,000[4]",,Highest-grossing,images\1958_Indiscreet.jpg
Ben-Hur,1959,$15.2 million [ 3 ] [ 4 ],"$36,000,000[1]",,Highest-grossing,images\1959_Ben-Hur.jpg
The Shaggy Dog,1959,"under $1 million [ 1 ] or $1,250,000 [ 2 ]","$9,600,000[2]",,Highest-grossing,images\1959_The_Shaggy_Dog.jpg
Operation Petticoat,1959,,"$9,321,555[3]",,Highest-grossing,images\1959_Operation_Petticoat.jpg
Some Like It Hot,1959,$2.9 million [ 3 ],"$8,127,835[3]",,Highest-grossing,images\1959_Some_Like_It_Hot.jpg
Pillow Talk,1959,$1.6 million [ 2 ],"$7,669,713[3]",,Highest-grossing,images\1959_Pillow_Talk.jpg
Imitation of Life,1959,$1.2 million [ 2 ],"$6,417,807[3]",,Highest-grossing,images\1959_Imitation_of_Life.jpg
"Suddenly, Last Summer",1959,$2.5 million [ 2 ],"$6,375,000[3]",,Highest-grossing,"images\1959_Suddenly,_Last_Summer.jpg"
Rio BravoThe Nun's Story,1959,"$1,214,899 [ 3 ]","$5,750,000[3]",,Highest-grossing,images\1959_Rio_BravoThe_Nun's_Story.jpg
North by Northwest,1959,$4.3 million [ 2 ],"$5,740,000[4]",,Highest-grossing,images\1959_North_by_Northwest.jpg
Anatomy of a Murder,1959,$2 million [ 1 ],"$5,500,000[1]",,Highest-grossing,images\1959_Anatomy_of_a_Murder.jpg
Spartacus,1960,$12 million [ 1 ] [ 2 ],"$14,000,000[1]",,Highest-grossing,images\1960_Spartacus.jpg
Psycho,1960,"$806,947 [ 6 ]","$9,100,000[1]",,Highest-grossing,images\1960_Psycho.jpg
Exodus,1960,$4.5 million [ 3 ],"$8,500,000[1]",,Highest-grossing,images\1960_Exodus.jpg
Swiss Family Robinson,1960,$5 million [ 2 ],"$8,100,000[3]",,Highest-grossing,images\1960_Swiss_Family_Robinson.jpg
The Alamo,1960,$12 million [ 1 ],"$7,900,000[1]",,Highest-grossing,images\1960_The_Alamo.jpg
The World of Suzie Wong,1960,"$2,000,000 [ 2 ]","$7,500,000[4]",,Highest-grossing,images\1960_The_World_of_Suzie_Wong.jpg
BUtterfield 8,1960,$2.8 million [ 2 ],"$6,800,000[5]",,Highest-grossing,images\1960_BUtterfield_8.jpg
The Apartment,1960,$3 million,"$6,700,000[1]",,Highest-grossing,images\1960_The_Apartment.jpg
Ocean's 11,1960,,"$5,500,000[1]",,Highest-grossing,images\1960_Ocean's_11.jpg
From the Terrace,1960,$3 million [ 1 ],"$5,200,000[1]",,Highest-grossing,images\1960_From_the_Terrace.jpg
West Side Story,1961,$6.75 million [ 3 ],"$19,645,000[1]",,Highest-grossing,images\1961_West_Side_Story.jpg
The Guns of Navarone,1961,$6 million [ 1 ],"$13,000,000[2]",,Highest-grossing,images\1961_The_Guns_of_Navarone.jpg
